county,precinct,office,party,district,candidate,votes
Morrow,Boardman #1,U.S. Senate,R,,Tom Stutzman,37
Morrow,Irrigon #2,U.S. Senate,R,,Tom Stutzman,21
Morrow,Lexington #3,U.S. Senate,R,,Tom Stutzman,22
Morrow,Ione #4,U.S. Senate,R,,Tom Stutzman,14
Morrow,Heppner #5,U.S. Senate,R,,Tom Stutzman,61
Morrow,Boardman #1,U.S. Senate,R,,Robin S. Parker,14
Morrow,Irrigon #2,U.S. Senate,R,,Robin S. Parker,18
Morrow,Lexington #3,U.S. Senate,R,,Robin S. Parker,4
Morrow,Ione #4,U.S. Senate,R,,Robin S. Parker,5
Morrow,Heppner #5,U.S. Senate,R,,Robin S. Parker,15
Morrow,Boardman #1,U.S. Senate,R,,Loren Later,31
Morrow,Irrigon #2,U.S. Senate,R,,Loren Later,34
Morrow,Lexington #3,U.S. Senate,R,,Loren Later,11
Morrow,Ione #4,U.S. Senate,R,,Loren Later,18
Morrow,Heppner #5,U.S. Senate,R,,Loren Later,34
Morrow,Boardman #1,U.S. Senate,R,,G. Shane Dinkel,34
Morrow,Irrigon #2,U.S. Senate,R,,G. Shane Dinkel,48
Morrow,Lexington #3,U.S. Senate,R,,G. Shane Dinkel,9
Morrow,Ione #4,U.S. Senate,R,,G. Shane Dinkel,17
Morrow,Heppner #5,U.S. Senate,R,,G. Shane Dinkel,39
Morrow,Boardman #1,U.S. Senate,R,,Jim Huffman,55
Morrow,Irrigon #2,U.S. Senate,R,,Jim Huffman,66
Morrow,Lexington #3,U.S. Senate,R,,Jim Huffman,34
Morrow,Ione #4,U.S. Senate,R,,Jim Huffman,35
Morrow,Heppner #5,U.S. Senate,R,,Jim Huffman,81
Morrow,Boardman #1,U.S. Senate,R,,Walter H. Woodland,13
Morrow,Irrigon #2,U.S. Senate,R,,Walter H. Woodland,6
Morrow,Lexington #3,U.S. Senate,R,,Walter H. Woodland,0
Morrow,Ione #4,U.S. Senate,R,,Walter H. Woodland,4
Morrow,Heppner #5,U.S. Senate,R,,Walter H. Woodland,8
Morrow,Boardman #1,U.S. Senate,R,,Keith Waldron,26
Morrow,Irrigon #2,U.S. Senate,R,,Keith Waldron,31
Morrow,Lexington #3,U.S. Senate,R,,Keith Waldron,10
Morrow,Ione #4,U.S. Senate,R,,Keith Waldron,15
Morrow,Heppner #5,U.S. Senate,R,,Keith Waldron,23
Morrow,Boardman #1,U.S. Senate,R,,Write-ins,2
Morrow,Irrigon #2,U.S. Senate,R,,Write-ins,2
Morrow,Lexington #3,U.S. Senate,R,,Write-ins,0
Morrow,Ione #4,U.S. Senate,R,,Write-ins,4
Morrow,Heppner #5,U.S. Senate,R,,Write-ins,2
Morrow,Boardman #1,U.S. Senate,R,,Over Votes,0
Morrow,Irrigon #2,U.S. Senate,R,,Over Votes,1
Morrow,Lexington #3,U.S. Senate,R,,Over Votes,0
Morrow,Ione #4,U.S. Senate,R,,Over Votes,0
Morrow,Heppner #5,U.S. Senate,R,,Over Votes,0
Morrow,Boardman #1,U.S. Senate,R,,Under Votes,67
Morrow,Irrigon #2,U.S. Senate,R,,Under Votes,55
Morrow,Lexington #3,U.S. Senate,R,,Under Votes,41
Morrow,Ione #4,U.S. Senate,R,,Under Votes,57
Morrow,Heppner #5,U.S. Senate,R,,Under Votes,132
Morrow,Boardman #1,U.S. House,R,2,Greg Walden,224
Morrow,Irrigon #2,U.S. House,R,2,Greg Walden,239
Morrow,Lexington #3,U.S. House,R,2,Greg Walden,111
Morrow,Ione #4,U.S. House,R,2,Greg Walden,148
Morrow,Heppner #5,U.S. House,R,2,Greg Walden,328
Morrow,Boardman #1,U.S. House,R,2,Write-ins,2
Morrow,Irrigon #2,U.S. House,R,2,Write-ins,0
Morrow,Lexington #3,U.S. House,R,2,Write-ins,2
Morrow,Ione #4,U.S. House,R,2,Write-ins,0
Morrow,Heppner #5,U.S. House,R,2,Write-ins,8
Morrow,Boardman #1,U.S. House,R,2,Over Votes,0
Morrow,Irrigon #2,U.S. House,R,2,Over Votes,0
Morrow,Lexington #3,U.S. House,R,2,Over Votes,0
Morrow,Ione #4,U.S. House,R,2,Over Votes,0
Morrow,Heppner #5,U.S. House,R,2,Over Votes,0
Morrow,Boardman #1,U.S. House,R,2,Under Votes,53
Morrow,Irrigon #2,U.S. House,R,2,Under Votes,43
Morrow,Lexington #3,U.S. House,R,2,Under Votes,18
Morrow,Ione #4,U.S. House,R,2,Under Votes,21
Morrow,Heppner #5,U.S. House,R,2,Under Votes,59
Morrow,Boardman #1,Governor,R,,Bill Sizemore,26
Morrow,Irrigon #2,Governor,R,,Bill Sizemore,22
Morrow,Lexington #3,Governor,R,,Bill Sizemore,10
Morrow,Ione #4,Governor,R,,Bill Sizemore,2
Morrow,Heppner #5,Governor,R,,Bill Sizemore,21
Morrow,Boardman #1,Governor,R,,John Lim,20
Morrow,Irrigon #2,Governor,R,,John Lim,41
Morrow,Lexington #3,Governor,R,,John Lim,16
Morrow,Ione #4,Governor,R,,John Lim,10
Morrow,Heppner #5,Governor,R,,John Lim,32
Morrow,Boardman #1,Governor,R,,Darren Karr,2
Morrow,Irrigon #2,Governor,R,,Darren Karr,2
Morrow,Lexington #3,Governor,R,,Darren Karr,0
Morrow,Ione #4,Governor,R,,Darren Karr,0
Morrow,Heppner #5,Governor,R,,Darren Karr,1
Morrow,Boardman #1,Governor,R,,Clark Colvin,0
Morrow,Irrigon #2,Governor,R,,Clark Colvin,1
Morrow,Lexington #3,Governor,R,,Clark Colvin,0
Morrow,Ione #4,Governor,R,,Clark Colvin,1
Morrow,Heppner #5,Governor,R,,Clark Colvin,2
Morrow,Boardman #1,Governor,R,,William Ames Curtright,20
Morrow,Irrigon #2,Governor,R,,William Ames Curtright,19
Morrow,Lexington #3,Governor,R,,William Ames Curtright,5
Morrow,Ione #4,Governor,R,,William Ames Curtright,3
Morrow,Heppner #5,Governor,R,,William Ames Curtright,14
Morrow,Boardman #1,Governor,R,,Chris Dudley,101
Morrow,Irrigon #2,Governor,R,,Chris Dudley,75
Morrow,Lexington #3,Governor,R,,Chris Dudley,62
Morrow,Ione #4,Governor,R,,Chris Dudley,113
Morrow,Heppner #5,Governor,R,,Chris Dudley,219
Morrow,Boardman #1,Governor,R,,Bob Forthan,1
Morrow,Irrigon #2,Governor,R,,Bob Forthan,0
Morrow,Lexington #3,Governor,R,,Bob Forthan,0
Morrow,Ione #4,Governor,R,,Bob Forthan,1
Morrow,Heppner #5,Governor,R,,Bob Forthan,1
Morrow,Boardman #1,Governor,R,,Allen Alley,79
Morrow,Irrigon #2,Governor,R,,Allen Alley,106
Morrow,Lexington #3,Governor,R,,Allen Alley,28
Morrow,Ione #4,Governor,R,,Allen Alley,27
Morrow,Heppner #5,Governor,R,,Allen Alley,70
Morrow,Boardman #1,Governor,R,,Rex O. Watkins,7
Morrow,Irrigon #2,Governor,R,,Rex O. Watkins,5
Morrow,Lexington #3,Governor,R,,Rex O. Watkins,4
Morrow,Ione #4,Governor,R,,Rex O. Watkins,3
Morrow,Heppner #5,Governor,R,,Rex O. Watkins,9
Morrow,Boardman #1,Governor,R,,Write-ins,0
Morrow,Irrigon #2,Governor,R,,Write-ins,1
Morrow,Lexington #3,Governor,R,,Write-ins,0
Morrow,Ione #4,Governor,R,,Write-ins,1
Morrow,Heppner #5,Governor,R,,Write-ins,1
Morrow,Boardman #1,Governor,R,,Over Votes,1
