county,precinct,office,district,party,candidate,votes,percent
Benton,PRECINCT 01,President,,DEM,"LYNDON H. LAROUCHE, JR.",6,0.73%
Benton,PRECINCT 01,President,,DEM,JOHN F. KERRY,557,68.18%
Benton,PRECINCT 01,President,,DEM,DENNIS J. KUCINICH,227,27.78%
Benton,PRECINCT 01,President,,DEM,Write-Ins,5,0.61%
Benton,PRECINCT 01,President,,DEM,Total,795,
Benton,PRECINCT 01,President,,DEM,Under-Votes,22,2.69%
Benton,PRECINCT 01,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 01,President,,DEM,Total Votes Cast,817,
Benton,PRECINCT 02,President,,DEM,"LYNDON H. LAROUCHE, JR.",3,0.77%
Benton,PRECINCT 02,President,,DEM,JOHN F. KERRY,216,55.10%
Benton,PRECINCT 02,President,,DEM,DENNIS J. KUCINICH,162,41.33%
Benton,PRECINCT 02,President,,DEM,Write-Ins,4,1.02%
Benton,PRECINCT 02,President,,DEM,Total,385,
Benton,PRECINCT 02,President,,DEM,Under-Votes,7,1.79%
Benton,PRECINCT 02,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 02,President,,DEM,Total Votes Cast,392,
Benton,PRECINCT 03,President,,DEM,"LYNDON H. LAROUCHE, JR.",1,0.17%
Benton,PRECINCT 03,President,,DEM,JOHN F. KERRY,322,56.29%
Benton,PRECINCT 03,President,,DEM,DENNIS J. KUCINICH,227,39.69%
Benton,PRECINCT 03,President,,DEM,Write-Ins,6,1.05%
Benton,PRECINCT 03,President,,DEM,Total,556,
Benton,PRECINCT 03,President,,DEM,Under-Votes,16,2.80%
Benton,PRECINCT 03,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,President,,DEM,Total Votes Cast,572,
Benton,PRECINCT 04,President,,DEM,"LYNDON H. LAROUCHE, JR.",1,0.31%
Benton,PRECINCT 04,President,,DEM,JOHN F. KERRY,222,69.16%
Benton,PRECINCT 04,President,,DEM,DENNIS J. KUCINICH,95,29.60%
Benton,PRECINCT 04,President,,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 04,President,,DEM,Total,318,
Benton,PRECINCT 04,President,,DEM,Under-Votes,3,0.93%
Benton,PRECINCT 04,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 04,President,,DEM,Total Votes Cast,321,
Benton,PRECINCT 05,President,,DEM,"LYNDON H. LAROUCHE, JR.",3,0.40%
Benton,PRECINCT 05,President,,DEM,JOHN F. KERRY,426,57.49%
Benton,PRECINCT 05,President,,DEM,DENNIS J. KUCINICH,285,38.46%
Benton,PRECINCT 05,President,,DEM,Write-Ins,9,1.21%
Benton,PRECINCT 05,President,,DEM,Total,723,
Benton,PRECINCT 05,President,,DEM,Under-Votes,18,2.43%
Benton,PRECINCT 05,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 05,President,,DEM,Total Votes Cast,741,
Benton,PRECINCT 06,President,,DEM,"LYNDON H. LAROUCHE, JR.",8,1.00%
Benton,PRECINCT 06,President,,DEM,JOHN F. KERRY,494,61.98%
Benton,PRECINCT 06,President,,DEM,DENNIS J. KUCINICH,260,32.62%
Benton,PRECINCT 06,President,,DEM,Write-Ins,9,1.13%
Benton,PRECINCT 06,President,,DEM,Total,771,
Benton,PRECINCT 06,President,,DEM,Under-Votes,26,3.26%
Benton,PRECINCT 06,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 06,President,,DEM,Total Votes Cast,797,
Benton,PRECINCT 07,President,,DEM,"LYNDON H. LAROUCHE, JR.",6,0.52%
Benton,PRECINCT 07,President,,DEM,JOHN F. KERRY,754,65.62%
Benton,PRECINCT 07,President,,DEM,DENNIS J. KUCINICH,352,30.64%
Benton,PRECINCT 07,President,,DEM,Write-Ins,11,0.96%
Benton,PRECINCT 07,President,,DEM,Total,"1,123",
Benton,PRECINCT 07,President,,DEM,Under-Votes,26,2.26%
Benton,PRECINCT 07,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 07,President,,DEM,Total Votes Cast,"1,149",
Benton,PRECINCT 08,President,,DEM,"LYNDON H. LAROUCHE, JR.",8,0.75%
Benton,PRECINCT 08,President,,DEM,JOHN F. KERRY,737,69.40%
Benton,PRECINCT 08,President,,DEM,DENNIS J. KUCINICH,273,25.71%
Benton,PRECINCT 08,President,,DEM,Write-Ins,14,1.32%
Benton,PRECINCT 08,President,,DEM,Total,"1,032",
Benton,PRECINCT 08,President,,DEM,Under-Votes,30,2.82%
Benton,PRECINCT 08,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 08,President,,DEM,Total Votes Cast,"1,062",
Benton,PRECINCT 09,President,,DEM,"LYNDON H. LAROUCHE, JR.",9,1.44%
Benton,PRECINCT 09,President,,DEM,JOHN F. KERRY,475,76.12%
Benton,PRECINCT 09,President,,DEM,DENNIS J. KUCINICH,124,19.87%
Benton,PRECINCT 09,President,,DEM,Write-Ins,6,0.96%
Benton,PRECINCT 09,President,,DEM,Total,614,
Benton,PRECINCT 09,President,,DEM,Under-Votes,10,1.60%
Benton,PRECINCT 09,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 09,President,,DEM,Total Votes Cast,624,
Benton,PRECINCT 10,President,,DEM,"LYNDON H. LAROUCHE, JR.",8,2.12%
Benton,PRECINCT 10,President,,DEM,JOHN F. KERRY,270,71.43%
Benton,PRECINCT 10,President,,DEM,DENNIS J. KUCINICH,79,20.90%
Benton,PRECINCT 10,President,,DEM,Write-Ins,7,1.85%
Benton,PRECINCT 10,President,,DEM,Total,364,
Benton,PRECINCT 10,President,,DEM,Under-Votes,14,3.70%
Benton,PRECINCT 10,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 10,President,,DEM,Total Votes Cast,378,
Benton,PRECINCT 11,President,,DEM,"LYNDON H. LAROUCHE, JR.",17,3.15%
Benton,PRECINCT 11,President,,DEM,JOHN F. KERRY,386,71.48%
Benton,PRECINCT 11,President,,DEM,DENNIS J. KUCINICH,103,19.07%
Benton,PRECINCT 11,President,,DEM,Write-Ins,11,2.04%
Benton,PRECINCT 11,President,,DEM,Total,517,
Benton,PRECINCT 11,President,,DEM,Under-Votes,23,4.26%
Benton,PRECINCT 11,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 11,President,,DEM,Total Votes Cast,540,
Benton,PRECINCT 12,President,,DEM,"LYNDON H. LAROUCHE, JR.",0,0.00%
Benton,PRECINCT 12,President,,DEM,JOHN F. KERRY,28,77.78%
Benton,PRECINCT 12,President,,DEM,DENNIS J. KUCINICH,4,11.11%
Benton,PRECINCT 12,President,,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 12,President,,DEM,Total,32,
Benton,PRECINCT 12,President,,DEM,Under-Votes,4,11.11%
Benton,PRECINCT 12,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 12,President,,DEM,Total Votes Cast,36,
Benton,PRECINCT 13,President,,DEM,"LYNDON H. LAROUCHE, JR.",1,2.13%
Benton,PRECINCT 13,President,,DEM,JOHN F. KERRY,38,80.85%
Benton,PRECINCT 13,President,,DEM,DENNIS J. KUCINICH,6,12.77%
Benton,PRECINCT 13,President,,DEM,Write-Ins,1,2.13%
Benton,PRECINCT 13,President,,DEM,Total,46,
Benton,PRECINCT 13,President,,DEM,Under-Votes,1,2.13%
Benton,PRECINCT 13,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 13,President,,DEM,Total Votes Cast,47,
Benton,PRECINCT 14,President,,DEM,"LYNDON H. LAROUCHE, JR.",5,4.81%
Benton,PRECINCT 14,President,,DEM,JOHN F. KERRY,57,54.81%
Benton,PRECINCT 14,President,,DEM,DENNIS J. KUCINICH,28,26.92%
Benton,PRECINCT 14,President,,DEM,Write-Ins,3,2.88%
Benton,PRECINCT 14,President,,DEM,Total,93,
Benton,PRECINCT 14,President,,DEM,Under-Votes,11,10.58%
Benton,PRECINCT 14,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 14,President,,DEM,Total Votes Cast,104,
Benton,PRECINCT 15,President,,DEM,"LYNDON H. LAROUCHE, JR.",13,2.35%
Benton,PRECINCT 15,President,,DEM,JOHN F. KERRY,345,62.27%
Benton,PRECINCT 15,President,,DEM,DENNIS J. KUCINICH,164,29.60%
Benton,PRECINCT 15,President,,DEM,Write-Ins,15,2.71%
Benton,PRECINCT 15,President,,DEM,Total,537,
Benton,PRECINCT 15,President,,DEM,Under-Votes,17,3.07%
Benton,PRECINCT 15,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 15,President,,DEM,Total Votes Cast,554,
Benton,PRECINCT 16,President,,DEM,"LYNDON H. LAROUCHE, JR.",4,1.11%
Benton,PRECINCT 16,President,,DEM,JOHN F. KERRY,248,68.89%
Benton,PRECINCT 16,President,,DEM,DENNIS J. KUCINICH,99,27.50%
Benton,PRECINCT 16,President,,DEM,Write-Ins,3,0.83%
Benton,PRECINCT 16,President,,DEM,Total,354,
Benton,PRECINCT 16,President,,DEM,Under-Votes,6,1.67%
Benton,PRECINCT 16,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 16,President,,DEM,Total Votes Cast,360,
Benton,PRECINCT 17,President,,DEM,"LYNDON H. LAROUCHE, JR.",10,1.32%
Benton,PRECINCT 17,President,,DEM,JOHN F. KERRY,504,66.58%
Benton,PRECINCT 17,President,,DEM,DENNIS J. KUCINICH,208,27.48%
Benton,PRECINCT 17,President,,DEM,Write-Ins,15,1.98%
Benton,PRECINCT 17,President,,DEM,Total,737,
Benton,PRECINCT 17,President,,DEM,Under-Votes,20,2.64%
Benton,PRECINCT 17,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 17,President,,DEM,Total Votes Cast,757,
Benton,PRECINCT 18,President,,DEM,"LYNDON H. LAROUCHE, JR.",1,0.52%
Benton,PRECINCT 18,President,,DEM,JOHN F. KERRY,141,72.68%
Benton,PRECINCT 18,President,,DEM,DENNIS J. KUCINICH,34,17.53%
Benton,PRECINCT 18,President,,DEM,Write-Ins,5,2.58%
Benton,PRECINCT 18,President,,DEM,Total,181,
