office,district,party,candidate,precinct,votes
U.S. Senate,,D,Pavel Goberman,0001 01,2
U.S. Senate,,D,Pavel Goberman,0002 02,6
U.S. Senate,,D,Pavel Goberman,0003 03,7
U.S. Senate,,D,Pavel Goberman,0004 04,4
U.S. Senate,,D,Pavel Goberman,0005 05,2
U.S. Senate,,D,Pavel Goberman,0006 06,6
U.S. Senate,,D,Pavel Goberman,0007 07,9
U.S. Senate,,D,Pavel Goberman,0008 08,4
U.S. Senate,,D,Pavel Goberman,0009 09,14
U.S. Senate,,D,Pavel Goberman,0010 10,12
U.S. Senate,,D,Pavel Goberman,0011 11,13
U.S. Senate,,D,Pavel Goberman,0012 12,2
U.S. Senate,,D,Pavel Goberman,0013 13,0
U.S. Senate,,D,Pavel Goberman,0014 14,0
U.S. Senate,,D,Pavel Goberman,0015 15,9
U.S. Senate,,D,Pavel Goberman,0016 16,12
U.S. Senate,,D,Pavel Goberman,0017 17,3
U.S. Senate,,D,Pavel Goberman,0018 18,4
U.S. Senate,,D,Pavel Goberman,0019 19,7
U.S. Senate,,D,Pavel Goberman,0020 20,7
U.S. Senate,,D,Pavel Goberman,0021 21,2
U.S. Senate,,D,Pavel Goberman,0022 22,1
U.S. Senate,,D,Pavel Goberman,0023 23,1
U.S. Senate,,D,Jeff Merkley,0001 01,302
U.S. Senate,,D,Jeff Merkley,0002 02,273
U.S. Senate,,D,Jeff Merkley,0003 03,441
U.S. Senate,,D,Jeff Merkley,0004 04,210
U.S. Senate,,D,Jeff Merkley,0005 05,297
U.S. Senate,,D,Jeff Merkley,0006 06,568
U.S. Senate,,D,Jeff Merkley,0007 07,979
U.S. Senate,,D,Jeff Merkley,0008 08,883
U.S. Senate,,D,Jeff Merkley,0009 09,442
U.S. Senate,,D,Jeff Merkley,0010 10,280
U.S. Senate,,D,Jeff Merkley,0011 11,452
U.S. Senate,,D,Jeff Merkley,0012 12,28
U.S. Senate,,D,Jeff Merkley,0013 13,34
U.S. Senate,,D,Jeff Merkley,0014 14,45
U.S. Senate,,D,Jeff Merkley,0015 15,370
U.S. Senate,,D,Jeff Merkley,0016 16,590
U.S. Senate,,D,Jeff Merkley,0017 17,288
U.S. Senate,,D,Jeff Merkley,0018 18,119
U.S. Senate,,D,Jeff Merkley,0019 19,192
U.S. Senate,,D,Jeff Merkley,0020 20,167
U.S. Senate,,D,Jeff Merkley,0021 21,44
U.S. Senate,,D,Jeff Merkley,0022 22,67
U.S. Senate,,D,Jeff Merkley,0023 23,76
U.S. Senate,,D,William Bryk,0001 01,2
U.S. Senate,,D,William Bryk,0002 02,2
U.S. Senate,,D,William Bryk,0003 03,12
U.S. Senate,,D,William Bryk,0004 04,2
U.S. Senate,,D,William Bryk,0005 05,4
U.S. Senate,,D,William Bryk,0006 06,4
U.S. Senate,,D,William Bryk,0007 07,6
U.S. Senate,,D,William Bryk,0008 08,7
U.S. Senate,,D,William Bryk,0009 09,15
U.S. Senate,,D,William Bryk,0010 10,9
U.S. Senate,,D,William Bryk,0011 11,33
U.S. Senate,,D,William Bryk,0012 12,0
U.S. Senate,,D,William Bryk,0013 13,2
U.S. Senate,,D,William Bryk,0014 14,5
U.S. Senate,,D,William Bryk,0015 15,14
U.S. Senate,,D,William Bryk,0016 16,12
U.S. Senate,,D,William Bryk,0017 17,2
U.S. Senate,,D,William Bryk,0018 18,8
U.S. Senate,,D,William Bryk,0019 19,4
U.S. Senate,,D,William Bryk,0020 20,13
U.S. Senate,,D,William Bryk,0021 21,4
U.S. Senate,,D,William Bryk,0022 22,1
U.S. Senate,,D,William Bryk,0023 23,3
U.S. Senate,,D,Write-ins,0001 01,2
U.S. Senate,,D,Write-ins,0002 02,1
U.S. Senate,,D,Write-ins,0003 03,4
U.S. Senate,,D,Write-ins,0004 04,1
U.S. Senate,,D,Write-ins,0005 05,0
U.S. Senate,,D,Write-ins,0006 06,3
U.S. Senate,,D,Write-ins,0007 07,1
U.S. Senate,,D,Write-ins,0008 08,0
U.S. Senate,,D,Write-ins,0009 09,3
U.S. Senate,,D,Write-ins,0010 10,1
U.S. Senate,,D,Write-ins,0011 11,10
U.S. Senate,,D,Write-ins,0012 12,1
U.S. Senate,,D,Write-ins,0013 13,1
U.S. Senate,,D,Write-ins,0014 14,0
U.S. Senate,,D,Write-ins,0015 15,4
U.S. Senate,,D,Write-ins,0016 16,2
U.S. Senate,,D,Write-ins,0017 17,2
U.S. Senate,,D,Write-ins,0018 18,4
U.S. Senate,,D,Write-ins,0019 19,3
U.S. Senate,,D,Write-ins,0020 20,2
U.S. Senate,,D,Write-ins,0021 21,0
U.S. Senate,,D,Write-ins,0022 22,1
U.S. Senate,,D,Write-ins,0023 23,2
U.S. Senate,,D,Over Votes,0001 01,0
U.S. Senate,,D,Over Votes,0002 02,0
U.S. Senate,,D,Over Votes,0003 03,0
U.S. Senate,,D,Over Votes,0004 04,0
U.S. Senate,,D,Over Votes,0005 05,0
U.S. Senate,,D,Over Votes,0006 06,0
U.S. Senate,,D,Over Votes,0007 07,0
U.S. Senate,,D,Over Votes,0008 08,0
U.S. Senate,,D,Over Votes,0009 09,0
U.S. Senate,,D,Over Votes,0010 10,0
U.S. Senate,,D,Over Votes,0011 11,0
U.S. Senate,,D,Over Votes,0012 12,0
U.S. Senate,,D,Over Votes,0013 13,0
U.S. Senate,,D,Over Votes,0014 14,0
U.S. Senate,,D,Over Votes,0015 15,1
U.S. Senate,,D,Over Votes,0016 16,0
U.S. Senate,,D,Over Votes,0017 17,0
U.S. Senate,,D,Over Votes,0018 18,0
U.S. Senate,,D,Over Votes,0019 19,0
U.S. Senate,,D,Over Votes,0020 20,0
U.S. Senate,,D,Over Votes,0021 21,0
U.S. Senate,,D,Over Votes,0022 22,0
U.S. Senate,,D,Over Votes,0023 23,0
U.S. Senate,,D,Under Votes,0001 01,10
U.S. Senate,,D,Under Votes,0002 02,9
U.S. Senate,,D,Under Votes,0003 03,29
U.S. Senate,,D,Under Votes,0004 04,9
U.S. Senate,,D,Under Votes,0005 05,17
U.S. Senate,,D,Under Votes,0006 06,30
U.S. Senate,,D,Under Votes,0007 07,25
U.S. Senate,,D,Under Votes,0008 08,33
U.S. Senate,,D,Under Votes,0009 09,23
U.S. Senate,,D,Under Votes,0010 10,20
U.S. Senate,,D,Under Votes,0011 11,16
U.S. Senate,,D,Under Votes,0012 12,0
U.S. Senate,,D,Under Votes,0013 13,3
U.S. Senate,,D,Under Votes,0014 14,4
U.S. Senate,,D,Under Votes,0015 15,24
U.S. Senate,,D,Under Votes,0016 16,19
U.S. Senate,,D,Under Votes,0017 17,5
U.S. Senate,,D,Under Votes,0018 18,11
U.S. Senate,,D,Under Votes,0019 19,16
U.S. Senate,,D,Under Votes,0020 20,17
U.S. Senate,,D,Under Votes,0021 21,3
U.S. Senate,,D,Under Votes,0022 22,3
U.S. Senate,,D,Under Votes,0023 23,3
U.S. House,4,D,Peter A. DeFazio,0001 01,302
U.S. House,4,D,Peter A. DeFazio,0002 02,276
U.S. House,4,D,Peter A. DeFazio,0003 03,449
U.S. House,4,D,Peter A. DeFazio,0004 04,208
U.S. House,4,D,Peter A. DeFazio,0005 05,299
U.S. House,4,D,Peter A. DeFazio,0006 06,582
U.S. House,4,D,Peter A. DeFazio,0007 07,968
U.S. House,4,D,Peter A. DeFazio,0008 08,876
U.S. House,4,D,Peter A. DeFazio,0009 09,464
U.S. House,4,D,Peter A. DeFazio,0010 10,292
U.S. House,4,D,Peter A. DeFazio,0013 13,38
U.S. House,4,D,Peter A. DeFazio,0014 14,52
U.S. House,4,D,Peter A. DeFazio,0015 15,385
U.S. House,4,D,Peter A. DeFazio,0016 16,590
U.S. House,4,D,Peter A. DeFazio,0017 17,286
U.S. House,4,D,Peter A. DeFazio,0019 19,199
U.S. House,4,D,Peter A. DeFazio,0020 20,179
U.S. House,4,D,Peter A. DeFazio,0021 21,49
U.S. House,4,D,Peter A. DeFazio,0023 23,79
U.S. House,4,D,Write-ins,0001 01,1
U.S. House,4,D,Write-ins,0002 02,0
U.S. House,4,D,Write-ins,0003 03,3
U.S. House,4,D,Write-ins,0004 04,1
U.S. House,4,D,Write-ins,0005 05,0
U.S. House,4,D,Write-ins,0006 06,0
U.S. House,4,D,Write-ins,0007 07,0
U.S. House,4,D,Write-ins,0008 08,0
U.S. House,4,D,Write-ins,0009 09,2
U.S. House,4,D,Write-ins,0010 10,3
U.S. House,4,D,Write-ins,0013 13,0
U.S. House,4,D,Write-ins,0014 14,0
U.S. House,4,D,Write-ins,0015 15,8
U.S. House,4,D,Write-ins,0016 16,2
U.S. House,4,D,Write-ins,0017 17,1
U.S. House,4,D,Write-ins,0019 19,4
U.S. House,4,D,Write-ins,0020 20,3
U.S. House,4,D,Write-ins,0021 21,1
U.S. House,4,D,Write-ins,0023 23,1
U.S. House,4,D,Over Votes,0001 01,0
U.S. House,4,D,Over Votes,0002 02,0
U.S. House,4,D,Over Votes,0003 03,0
U.S. House,4,D,Over Votes,0004 04,0
U.S. House,4,D,Over Votes,0005 05,0
U.S. House,4,D,Over Votes,0006 06,0
U.S. House,4,D,Over Votes,0007 07,0
U.S. House,4,D,Over Votes,0008 08,0
U.S. House,4,D,Over Votes,0009 09,0
U.S. House,4,D,Over Votes,0010 10,0
U.S. House,4,D,Over Votes,0013 13,0
U.S. House,4,D,Over Votes,0014 14,0
U.S. House,4,D,Over Votes,0015 15,0
U.S. House,4,D,Over Votes,0016 16,0
U.S. House,4,D,Over Votes,0017 17,0
U.S. House,4,D,Over Votes,0019 19,0
U.S. House,4,D,Over Votes,0020 20,0
U.S. House,4,D,Over Votes,0021 21,0
U.S. House,4,D,Over Votes,0023 23,0
U.S. House,4,D,Under Votes,0001 01,15
U.S. House,4,D,Under Votes,0002 02,15
U.S. House,4,D,Under Votes,0003 03,41
U.S. House,4,D,Under Votes,0004 04,17
U.S. House,4,D,Under Votes,0005 05,21
U.S. House,4,D,Under Votes,0006 06,29
U.S. House,4,D,Under Votes,0007 07,52
U.S. House,4,D,Under Votes,0008 08,51
U.S. House,4,D,Under Votes,0009 09,31
U.S. House,4,D,Under Votes,0010 10,27
U.S. House,4,D,Under Votes,0013 13,2
U.S. House,4,D,Under Votes,0014 14,2
U.S. House,4,D,Under Votes,0015 15,29
U.S. House,4,D,Under Votes,0016 16,43
U.S. House,4,D,Under Votes,0017 17,13
U.S. House,4,D,Under Votes,0019 19,19
U.S. House,4,D,Under Votes,0020 20,24
U.S. House,4,D,Under Votes,0021 21,3
U.S. House,4,D,Under Votes,0023 23,5
U.S. House,5,D,Anita Brown,0011 11,96
U.S. House,5,D,Anita Brown,0012 12,9
U.S. House,5,D,Anita Brown,0018 18,25
U.S. House,5,D,Anita Brown,0022 22,16
U.S. House,5,D,Kurt Schrader,0011 11,377
U.S. House,5,D,Kurt Schrader,0012 12,20
U.S. House,5,D,Kurt Schrader,0018 18,105
U.S. House,5,D,Kurt Schrader,0022 22,54
U.S. House,5,D,Write-ins,0011 11,7
U.S. House,5,D,Write-ins,0012 12,1
U.S. House,5,D,Write-ins,0018 18,1
U.S. House,5,D,Write-ins,0022 22,0
U.S. House,5,D,Over Votes,0011 11,0
U.S. House,5,D,Over Votes,0012 12,0
U.S. House,5,D,Over Votes,0018 18,0
U.S. House,5,D,Over Votes,0022 22,0
U.S. House,5,D,Under Votes,0011 11,44
U.S. House,5,D,Under Votes,0012 12,1
U.S. House,5,D,Under Votes,0018 18,15
U.S. House,5,D,Under Votes,0022 22,3
Governor,,D,Ifeanyichukwu C Diru,0001 01,8
Governor,,D,Ifeanyichukwu C Diru,0002 02,7
Governor,,D,Ifeanyichukwu C Diru,0003 03,28
Governor,,D,Ifeanyichukwu C Diru,0004 04,6
Governor,,D,Ifeanyichukwu C Diru,0005 05,8
Governor,,D,Ifeanyichukwu C Diru,0006 06,26
Governor,,D,Ifeanyichukwu C Diru,0007 07,24
Governor,,D,Ifeanyichukwu C Diru,0008 08,25
Governor,,D,Ifeanyichukwu C Diru,0009 09,21
Governor,,D,Ifeanyichukwu C Diru,0010 10,32
Governor,,D,Ifeanyichukwu C Diru,0011 11,53
Governor,,D,Ifeanyichukwu C Diru,0012 12,1
Governor,,D,Ifeanyichukwu C Diru,0013 13,6
Governor,,D,Ifeanyichukwu C Diru,0014 14,7
Governor,,D,Ifeanyichukwu C Diru,0015 15,32
Governor,,D,Ifeanyichukwu C Diru,0016 16,27
Governor,,D,Ifeanyichukwu C Diru,0017 17,11
Governor,,D,Ifeanyichukwu C Diru,0018 18,18
Governor,,D,Ifeanyichukwu C Diru,0019 19,19
Governor,,D,Ifeanyichukwu C Diru,0020 20,28
Governor,,D,Ifeanyichukwu C Diru,0021 21,4
Governor,,D,Ifeanyichukwu C Diru,0022 22,5
Governor,,D,Ifeanyichukwu C Diru,0023 23,6
Governor,,D,John Kitzhaber,0001 01,297
Governor,,D,John Kitzhaber,0002 02,270
Governor,,D,John Kitzhaber,0003 03,446
Governor,,D,John Kitzhaber,0004 04,209
Governor,,D,John Kitzhaber,0005 05,298
Governor,,D,John Kitzhaber,0006 06,556
Governor,,D,John Kitzhaber,0007 07,946
Governor,,D,John Kitzhaber,0008 08,868
Governor,,D,John Kitzhaber,0009 09,451
Governor,,D,John Kitzhaber,0010 10,272
Governor,,D,John Kitzhaber,0011 11,433
Governor,,D,John Kitzhaber,0012 12,29
Governor,,D,John Kitzhaber,0013 13,32
Governor,,D,John Kitzhaber,0014 14,45
Governor,,D,John Kitzhaber,0015 15,359
Governor,,D,John Kitzhaber,0016 16,589
Governor,,D,John Kitzhaber,0017 17,274
Governor,,D,John Kitzhaber,0018 18,115
Governor,,D,John Kitzhaber,0019 19,190
Governor,,D,John Kitzhaber,0020 20,163
Governor,,D,John Kitzhaber,0021 21,45
Governor,,D,John Kitzhaber,0022 22,63
Governor,,D,John Kitzhaber,0023 23,75
Governor,,D,Write-ins,0001 01,4
Governor,,D,Write-ins,0002 02,3
Governor,,D,Write-ins,0003 03,2
Governor,,D,Write-ins,0004 04,1
Governor,,D,Write-ins,0005 05,1
Governor,,D,Write-ins,0006 06,3
Governor,,D,Write-ins,0007 07,4
Governor,,D,Write-ins,0008 08,2
Governor,,D,Write-ins,0009 09,4
Governor,,D,Write-ins,0010 10,2
Governor,,D,Write-ins,0011 11,14
Governor,,D,Write-ins,0012 12,1
Governor,,D,Write-ins,0013 13,0
Governor,,D,Write-ins,0014 14,0
Governor,,D,Write-ins,0015 15,4
Governor,,D,Write-ins,0016 16,2
Governor,,D,Write-ins,0017 17,3
Governor,,D,Write-ins,0018 18,3
Governor,,D,Write-ins,0019 19,5
Governor,,D,Write-ins,0020 20,2
Governor,,D,Write-ins,0021 21,3
Governor,,D,Write-ins,0022 22,1
Governor,,D,Write-ins,0023 23,2
Governor,,D,Over Votes,0001 01,0
Governor,,D,Over Votes,0002 02,0
Governor,,D,Over Votes,0003 03,0
Governor,,D,Over Votes,0004 04,0
Governor,,D,Over Votes,0005 05,0
Governor,,D,Over Votes,0006 06,0
Governor,,D,Over Votes,0007 07,0
Governor,,D,Over Votes,0008 08,0
Governor,,D,Over Votes,0009 09,0
Governor,,D,Over Votes,0010 10,0
Governor,,D,Over Votes,0011 11,0
Governor,,D,Over Votes,0012 12,0
Governor,,D,Over Votes,0013 13,0
Governor,,D,Over Votes,0014 14,0
Governor,,D,Over Votes,0015 15,1
Governor,,D,Over Votes,0016 16,0
Governor,,D,Over Votes,0017 17,0
Governor,,D,Over Votes,0018 18,0
Governor,,D,Over Votes,0019 19,0
Governor,,D,Over Votes,0020 20,0
Governor,,D,Over Votes,0021 21,0
Governor,,D,Over Votes,0022 22,0
Governor,,D,Over Votes,0023 23,0
Governor,,D,Under Votes,0001 01,9
Governor,,D,Under Votes,0002 02,11
Governor,,D,Under Votes,0003 03,17
Governor,,D,Under Votes,0004 04,10
Governor,,D,Under Votes,0005 05,13
Governor,,D,Under Votes,0006 06,26
Governor,,D,Under Votes,0007 07,46
Governor,,D,Under Votes,0008 08,32
Governor,,D,Under Votes,0009 09,21
