county,candidate,party,office,district,precinct,votes
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,2701,7
Multnomah,John Kitzhaber,DEM,Governor,,2701,142
Multnomah,Write-ins,DEM,Governor,,2701,4
Multnomah,Over Votes,DEM,Governor,,2701,0
Multnomah,Under Votes,DEM,Governor,,2701,10
Multnomah,Bruce A Cuff,REP,Governor,,2701,1
Multnomah,Gordon Challstrom,REP,Governor,,2701,1
Multnomah,Tim Carr,REP,Governor,,2701,4
Multnomah,Dennis Richardson,REP,Governor,,2701,48
Multnomah,Mae Rafferty,REP,Governor,,2701,1
Multnomah,Darren Karr,REP,Governor,,2701,0
Multnomah,Write-ins,REP,Governor,,2701,0
Multnomah,Over Votes,REP,Governor,,2701,0
Multnomah,Under Votes,REP,Governor,,2701,18
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,2702,7
Multnomah,John Kitzhaber,DEM,Governor,,2702,153
Multnomah,Write-ins,DEM,Governor,,2702,2
Multnomah,Over Votes,DEM,Governor,,2702,0
Multnomah,Under Votes,DEM,Governor,,2702,12
Multnomah,Bruce A Cuff,REP,Governor,,2702,3
Multnomah,Gordon Challstrom,REP,Governor,,2702,4
Multnomah,Tim Carr,REP,Governor,,2702,9
Multnomah,Dennis Richardson,REP,Governor,,2702,90
Multnomah,Mae Rafferty,REP,Governor,,2702,4
Multnomah,Darren Karr,REP,Governor,,2702,3
Multnomah,Write-ins,REP,Governor,,2702,3
Multnomah,Over Votes,REP,Governor,,2702,0
Multnomah,Under Votes,REP,Governor,,2702,25
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3101,12
Multnomah,John Kitzhaber,DEM,Governor,,3101,193
Multnomah,Write-ins,DEM,Governor,,3101,2
Multnomah,Over Votes,DEM,Governor,,3101,0
Multnomah,Under Votes,DEM,Governor,,3101,19
Multnomah,Bruce A Cuff,REP,Governor,,3101,4
Multnomah,Gordon Challstrom,REP,Governor,,3101,5
Multnomah,Tim Carr,REP,Governor,,3101,9
Multnomah,Dennis Richardson,REP,Governor,,3101,47
Multnomah,Mae Rafferty,REP,Governor,,3101,7
Multnomah,Darren Karr,REP,Governor,,3101,1
Multnomah,Write-ins,REP,Governor,,3101,0
Multnomah,Over Votes,REP,Governor,,3101,0
Multnomah,Under Votes,REP,Governor,,3101,20
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3102,21
Multnomah,John Kitzhaber,DEM,Governor,,3102,291
Multnomah,Write-ins,DEM,Governor,,3102,2
Multnomah,Over Votes,DEM,Governor,,3102,0
Multnomah,Under Votes,DEM,Governor,,3102,20
Multnomah,Bruce A Cuff,REP,Governor,,3102,16
Multnomah,Gordon Challstrom,REP,Governor,,3102,20
Multnomah,Tim Carr,REP,Governor,,3102,8
Multnomah,Dennis Richardson,REP,Governor,,3102,90
Multnomah,Mae Rafferty,REP,Governor,,3102,6
Multnomah,Darren Karr,REP,Governor,,3102,0
Multnomah,Write-ins,REP,Governor,,3102,1
Multnomah,Over Votes,REP,Governor,,3102,0
Multnomah,Under Votes,REP,Governor,,3102,31
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3103,14
Multnomah,John Kitzhaber,DEM,Governor,,3103,92
Multnomah,Write-ins,DEM,Governor,,3103,3
Multnomah,Over Votes,DEM,Governor,,3103,0
Multnomah,Under Votes,DEM,Governor,,3103,8
Multnomah,Bruce A Cuff,REP,Governor,,3103,5
Multnomah,Gordon Challstrom,REP,Governor,,3103,6
Multnomah,Tim Carr,REP,Governor,,3103,7
Multnomah,Dennis Richardson,REP,Governor,,3103,41
Multnomah,Mae Rafferty,REP,Governor,,3103,6
Multnomah,Darren Karr,REP,Governor,,3103,1
Multnomah,Write-ins,REP,Governor,,3103,2
Multnomah,Over Votes,REP,Governor,,3103,0
Multnomah,Under Votes,REP,Governor,,3103,15
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3301,33
Multnomah,John Kitzhaber,DEM,Governor,,3301,1014
Multnomah,Write-ins,DEM,Governor,,3301,11
Multnomah,Over Votes,DEM,Governor,,3301,0
Multnomah,Under Votes,DEM,Governor,,3301,66
Multnomah,Bruce A Cuff,REP,Governor,,3301,1
Multnomah,Gordon Challstrom,REP,Governor,,3301,6
Multnomah,Tim Carr,REP,Governor,,3301,9
Multnomah,Dennis Richardson,REP,Governor,,3301,48
Multnomah,Mae Rafferty,REP,Governor,,3301,6
Multnomah,Darren Karr,REP,Governor,,3301,1
Multnomah,Write-ins,REP,Governor,,3301,1
Multnomah,Over Votes,REP,Governor,,3301,0
Multnomah,Under Votes,REP,Governor,,3301,28
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3302,21
Multnomah,John Kitzhaber,DEM,Governor,,3302,876
Multnomah,Write-ins,DEM,Governor,,3302,9
Multnomah,Over Votes,DEM,Governor,,3302,0
Multnomah,Under Votes,DEM,Governor,,3302,52
Multnomah,Bruce A Cuff,REP,Governor,,3302,5
Multnomah,Gordon Challstrom,REP,Governor,,3302,12
Multnomah,Tim Carr,REP,Governor,,3302,16
Multnomah,Dennis Richardson,REP,Governor,,3302,81
Multnomah,Mae Rafferty,REP,Governor,,3302,1
Multnomah,Darren Karr,REP,Governor,,3302,1
Multnomah,Write-ins,REP,Governor,,3302,3
Multnomah,Over Votes,REP,Governor,,3302,0
Multnomah,Under Votes,REP,Governor,,3302,43
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3303,28
Multnomah,John Kitzhaber,DEM,Governor,,3303,499
Multnomah,Write-ins,DEM,Governor,,3303,5
Multnomah,Over Votes,DEM,Governor,,3303,0
Multnomah,Under Votes,DEM,Governor,,3303,35
Multnomah,Bruce A Cuff,REP,Governor,,3303,12
Multnomah,Gordon Challstrom,REP,Governor,,3303,10
Multnomah,Tim Carr,REP,Governor,,3303,28
Multnomah,Dennis Richardson,REP,Governor,,3303,167
Multnomah,Mae Rafferty,REP,Governor,,3303,4
Multnomah,Darren Karr,REP,Governor,,3303,0
Multnomah,Write-ins,REP,Governor,,3303,2
Multnomah,Over Votes,REP,Governor,,3303,0
Multnomah,Under Votes,REP,Governor,,3303,47
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3304,11
Multnomah,John Kitzhaber,DEM,Governor,,3304,140
Multnomah,Write-ins,DEM,Governor,,3304,3
Multnomah,Over Votes,DEM,Governor,,3304,0
Multnomah,Under Votes,DEM,Governor,,3304,9
Multnomah,Bruce A Cuff,REP,Governor,,3304,5
Multnomah,Gordon Challstrom,REP,Governor,,3304,3
Multnomah,Tim Carr,REP,Governor,,3304,4
Multnomah,Dennis Richardson,REP,Governor,,3304,33
Multnomah,Mae Rafferty,REP,Governor,,3304,1
Multnomah,Darren Karr,REP,Governor,,3304,0
Multnomah,Write-ins,REP,Governor,,3304,0
Multnomah,Over Votes,REP,Governor,,3304,0
Multnomah,Under Votes,REP,Governor,,3304,20
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3501,12
Multnomah,John Kitzhaber,DEM,Governor,,3501,157
Multnomah,Write-ins,DEM,Governor,,3501,2
Multnomah,Over Votes,DEM,Governor,,3501,0
Multnomah,Under Votes,DEM,Governor,,3501,10
Multnomah,Bruce A Cuff,REP,Governor,,3501,4
Multnomah,Gordon Challstrom,REP,Governor,,3501,4
Multnomah,Tim Carr,REP,Governor,,3501,1
Multnomah,Dennis Richardson,REP,Governor,,3501,62
Multnomah,Mae Rafferty,REP,Governor,,3501,3
Multnomah,Darren Karr,REP,Governor,,3501,0
Multnomah,Write-ins,REP,Governor,,3501,0
Multnomah,Over Votes,REP,Governor,,3501,0
Multnomah,Under Votes,REP,Governor,,3501,9
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3502,44
Multnomah,John Kitzhaber,DEM,Governor,,3502,1010
Multnomah,Write-ins,DEM,Governor,,3502,10
Multnomah,Over Votes,DEM,Governor,,3502,0
Multnomah,Under Votes,DEM,Governor,,3502,73
Multnomah,Bruce A Cuff,REP,Governor,,3502,22
Multnomah,Gordon Challstrom,REP,Governor,,3502,21
Multnomah,Tim Carr,REP,Governor,,3502,32
Multnomah,Dennis Richardson,REP,Governor,,3502,250
Multnomah,Mae Rafferty,REP,Governor,,3502,11
Multnomah,Darren Karr,REP,Governor,,3502,1
Multnomah,Write-ins,REP,Governor,,3502,3
Multnomah,Over Votes,REP,Governor,,3502,0
Multnomah,Under Votes,REP,Governor,,3502,75
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3601,15
Multnomah,John Kitzhaber,DEM,Governor,,3601,395
Multnomah,Write-ins,DEM,Governor,,3601,5
Multnomah,Over Votes,DEM,Governor,,3601,0
Multnomah,Under Votes,DEM,Governor,,3601,23
Multnomah,Bruce A Cuff,REP,Governor,,3601,1
Multnomah,Gordon Challstrom,REP,Governor,,3601,9
Multnomah,Tim Carr,REP,Governor,,3601,10
Multnomah,Dennis Richardson,REP,Governor,,3601,94
Multnomah,Mae Rafferty,REP,Governor,,3601,4
Multnomah,Darren Karr,REP,Governor,,3601,1
Multnomah,Write-ins,REP,Governor,,3601,1
Multnomah,Over Votes,REP,Governor,,3601,0
Multnomah,Under Votes,REP,Governor,,3601,52
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3602,12
Multnomah,John Kitzhaber,DEM,Governor,,3602,515
Multnomah,Write-ins,DEM,Governor,,3602,3
Multnomah,Over Votes,DEM,Governor,,3602,0
Multnomah,Under Votes,DEM,Governor,,3602,41
Multnomah,Bruce A Cuff,REP,Governor,,3602,2
Multnomah,Gordon Challstrom,REP,Governor,,3602,8
Multnomah,Tim Carr,REP,Governor,,3602,5
Multnomah,Dennis Richardson,REP,Governor,,3602,18
Multnomah,Mae Rafferty,REP,Governor,,3602,5
Multnomah,Darren Karr,REP,Governor,,3602,2
Multnomah,Write-ins,REP,Governor,,3602,2
Multnomah,Over Votes,REP,Governor,,3602,0
Multnomah,Under Votes,REP,Governor,,3602,4
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3603,31
Multnomah,John Kitzhaber,DEM,Governor,,3603,313
Multnomah,Write-ins,DEM,Governor,,3603,6
Multnomah,Over Votes,DEM,Governor,,3603,0
Multnomah,Under Votes,DEM,Governor,,3603,15
Multnomah,Bruce A Cuff,REP,Governor,,3603,5
Multnomah,Gordon Challstrom,REP,Governor,,3603,2
Multnomah,Tim Carr,REP,Governor,,3603,4
Multnomah,Dennis Richardson,REP,Governor,,3603,27
Multnomah,Mae Rafferty,REP,Governor,,3603,7
Multnomah,Darren Karr,REP,Governor,,3603,1
Multnomah,Write-ins,REP,Governor,,3603,2
Multnomah,Over Votes,REP,Governor,,3603,1
Multnomah,Under Votes,REP,Governor,,3603,11
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3604,30
Multnomah,John Kitzhaber,DEM,Governor,,3604,918
Multnomah,Write-ins,DEM,Governor,,3604,8
Multnomah,Over Votes,DEM,Governor,,3604,0
Multnomah,Under Votes,DEM,Governor,,3604,70
Multnomah,Bruce A Cuff,REP,Governor,,3604,3
Multnomah,Gordon Challstrom,REP,Governor,,3604,15
Multnomah,Tim Carr,REP,Governor,,3604,18
Multnomah,Dennis Richardson,REP,Governor,,3604,187
Multnomah,Mae Rafferty,REP,Governor,,3604,4
Multnomah,Darren Karr,REP,Governor,,3604,3
Multnomah,Write-ins,REP,Governor,,3604,2
Multnomah,Over Votes,REP,Governor,,3604,0
Multnomah,Under Votes,REP,Governor,,3604,66
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3605,22
Multnomah,John Kitzhaber,DEM,Governor,,3605,563
Multnomah,Write-ins,DEM,Governor,,3605,6
Multnomah,Over Votes,DEM,Governor,,3605,0
Multnomah,Under Votes,DEM,Governor,,3605,41
Multnomah,Bruce A Cuff,REP,Governor,,3605,3
Multnomah,Gordon Challstrom,REP,Governor,,3605,8
Multnomah,Tim Carr,REP,Governor,,3605,22
Multnomah,Dennis Richardson,REP,Governor,,3605,152
Multnomah,Mae Rafferty,REP,Governor,,3605,6
Multnomah,Darren Karr,REP,Governor,,3605,1
Multnomah,Write-ins,REP,Governor,,3605,4
Multnomah,Over Votes,REP,Governor,,3605,0
Multnomah,Under Votes,REP,Governor,,3605,65
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3606,30
Multnomah,John Kitzhaber,DEM,Governor,,3606,1301
Multnomah,Write-ins,DEM,Governor,,3606,12
Multnomah,Over Votes,DEM,Governor,,3606,0
Multnomah,Under Votes,DEM,Governor,,3606,90
Multnomah,Bruce A Cuff,REP,Governor,,3606,19
Multnomah,Gordon Challstrom,REP,Governor,,3606,21
Multnomah,Tim Carr,REP,Governor,,3606,17
Multnomah,Dennis Richardson,REP,Governor,,3606,178
Multnomah,Mae Rafferty,REP,Governor,,3606,13
Multnomah,Darren Karr,REP,Governor,,3606,0
Multnomah,Write-ins,REP,Governor,,3606,3
Multnomah,Over Votes,REP,Governor,,3606,0
Multnomah,Under Votes,REP,Governor,,3606,57
