county,candidate,party,office,votes,incumbent
Baker,"Bradbury, Bill",Democrat,Secretary of State,1349,TRUE
Benton,"Bradbury, Bill",Democrat,Secretary of State,7504,TRUE
Clackamas,"Bradbury, Bill",Democrat,Secretary of State,24184,TRUE
Clatsop,"Bradbury, Bill",Democrat,Secretary of State,4007,TRUE
Columbia,"Bradbury, Bill",Democrat,Secretary of State,5640,TRUE
Coos,"Bradbury, Bill",Democrat,Secretary of State,8492,TRUE
Crook,"Bradbury, Bill",Democrat,Secretary of State,1457,TRUE
Curry,"Bradbury, Bill",Democrat,Secretary of State,2779,TRUE
Deschutes,"Bradbury, Bill",Democrat,Secretary of State,8245,TRUE
Douglas,"Bradbury, Bill",Democrat,Secretary of State,9803,TRUE
Gilliam,"Bradbury, Bill",Democrat,Secretary of State,234,TRUE
Grant,"Bradbury, Bill",Democrat,Secretary of State,641,TRUE
Harney,"Bradbury, Bill",Democrat,Secretary of State,682,TRUE
Hood River,"Bradbury, Bill",Democrat,Secretary of State,1860,TRUE
Jackson,"Bradbury, Bill",Democrat,Secretary of State,14421,TRUE
Jefferson,"Bradbury, Bill",Democrat,Secretary of State,1428,TRUE
Josephine,"Bradbury, Bill",Democrat,Secretary of State,6075,TRUE
Klamath,"Bradbury, Bill",Democrat,Secretary of State,5204,TRUE
Lake,"Bradbury, Bill",Democrat,Secretary of State,676,TRUE
Lane,"Bradbury, Bill",Democrat,Secretary of State,32627,TRUE
Lincoln,"Bradbury, Bill",Democrat,Secretary of State,5243,TRUE
Linn,"Bradbury, Bill",Democrat,Secretary of State,7580,TRUE
Malheur,"Bradbury, Bill",Democrat,Secretary of State,1442,TRUE
Marion,"Bradbury, Bill",Democrat,Secretary of State,22013,TRUE
Morrow,"Bradbury, Bill",Democrat,Secretary of State,508,TRUE
Multnomah,"Bradbury, Bill",Democrat,Secretary of State,68168,TRUE
Polk,"Bradbury, Bill",Democrat,Secretary of State,4090,TRUE
Sherman,"Bradbury, Bill",Democrat,Secretary of State,211,TRUE
Tillamook,"Bradbury, Bill",Democrat,Secretary of State,3076,TRUE
Umatilla,"Bradbury, Bill",Democrat,Secretary of State,3240,TRUE
Union,"Bradbury, Bill",Democrat,Secretary of State,2216,TRUE
Wallowa,"Bradbury, Bill",Democrat,Secretary of State,646,TRUE
Wasco,"Bradbury, Bill",Democrat,Secretary of State,2519,TRUE
Washington,"Bradbury, Bill",Democrat,Secretary of State,26171,TRUE
Wheeler,"Bradbury, Bill",Democrat,Secretary of State,163,TRUE
Yamhill,"Bradbury, Bill",Democrat,Secretary of State,6276,TRUE
Baker,Other,Democrat,Secretary of State,55,FALSE
Benton,Other,Democrat,Secretary of State,84,FALSE
Clackamas,Other,Democrat,Secretary of State,49,FALSE
Clatsop,Other,Democrat,Secretary of State,59,FALSE
Columbia,Other,Democrat,Secretary of State,113,FALSE
Coos,Other,Democrat,Secretary of State,262,FALSE
Crook,Other,Democrat,Secretary of State,171,FALSE
Curry,Other,Democrat,Secretary of State,63,FALSE
Deschutes,Other,Democrat,Secretary of State,267,FALSE
Douglas,Other,Democrat,Secretary of State,218,FALSE
Gilliam,Other,Democrat,Secretary of State,11,FALSE
Grant,Other,Democrat,Secretary of State,96,FALSE
Harney,Other,Democrat,Secretary of State,92,FALSE
Hood River,Other,Democrat,Secretary of State,17,FALSE
Jackson,Other,Democrat,Secretary of State,249,FALSE
Jefferson,Other,Democrat,Secretary of State,30,FALSE
Josephine,Other,Democrat,Secretary of State,202,FALSE
Klamath,Other,Democrat,Secretary of State,105,FALSE
Lake,Other,Democrat,Secretary of State,0,FALSE
Lane,Other,Democrat,Secretary of State,40,FALSE
Lincoln,Other,Democrat,Secretary of State,61,FALSE
Linn,Other,Democrat,Secretary of State,39,FALSE
Malheur,Other,Democrat,Secretary of State,63,FALSE
